1024,0.0854617,0.248599,0.473133,0.612228,0.661947,0.647388
2048,0.0913394,0.304048,0.727191,1.11238,1.28102,1.27822
3072,0.0934927,0.328777,0.886154,1.53125,1.87366,1.92659
4096,0.0945744,0.342326,0.990496,1.89036,2.43698,2.55676
5120,0.0952326,0.351302,1.07277,2.19918,2.96732,3.07818
6144,0.0956351,0.357473,1.13161,2.46974,3.48598,3.68471
7168,0.0960167,0.361992,1.17967,2.70327,3.96931,4.28818
8192,0.0962582,0.365432,1.21672,2.91022,4.42043,4.90033
9216,0.0964153,0.36837,1.24826,3.09586,4.75297,5.28155
10240,0.0966001,0.37051,1.27362,3.26258,5.24978,5.85106
11264,0.0967308,0.372442,1.2952,3.40759,5.68592,6.47548
12288,0.0968346,0.373944,1.31501,3.54588,6.05822,7.0776
13312,0.0969192,0.375279,1.33157,3.67297,6.41654,7.35295
14336,0.0969782,0.376381,1.34607,3.78159,6.76538,7.90671
15360,0.0970667,0.377447,1.359,3.88176,7.10594,8.47832
16384,0.0971187,0.378323,1.36946,3.97786,7.43389,9.03561
17408,0.0971744,0.379079,1.37986,4.06474,7.74843,9.16371
18432,0.0972205,0.379808,1.38896,4.14741,8.05369,9.68364
19456,0.0972612,0.380401,1.39025,4.22193,8.33271,10.2357
20480,0.0972957,0.380986,1.4051,4.29261,8.5826,10.7806
21504,0.0973245,0.381411,1.41191,4.35312,8.8661,10.9691
22528,0.0973578,0.381878,1.41808,4.41379,9.15946,11.4674
23552,0.0973852,0.382322,1.42355,4.47134,9.39461,11.9621
24576,0.0974101,0.382743,1.42944,4.52575,9.65194,12.5161
25600,0.0974335,0.383077,1.42581,4.48335,9.85348,12.5314
26624,0.0974582,0.383371,1.43827,4.6259,10.0912,13.0094
27648,0.0974768,0.383658,1.44342,4.66771,10.3038,13.5003
28672,0.0974957,0.384016,1.44772,4.71096,10.502,14.0548
29696,0.097512,0.384293,1.45101,4.75219,10.7065,14.0405
30720,0.0975299,0.38424,1.45527,4.78692,10.9158,14.5699
31744,0.0975438,0.384788,1.45877,4.82697,11.0925,14.9892
32768,0.0975559,0.384994,1.4611,4.86239,11.2771,15.4052
33792,0.0975734,0.385179,1.46441,4.89304,11.4842,15.4958
34816,0.0975843,0.3854,1.46761,4.92631,11.6619,15.8942
35840,0.0975966,0.385614,1.46961,4.9582,11.8144,16.4118
36864,0.0975918,0.385645,1.47241,4.98761,12.0229,16.8504
37888,0.0976187,0.38594,1.4749,5.01644,12.1786,16.8033
38912,0.097629,0.385943,1.47739,5.03838,12.3194,17.2221
39936,0.0976388,0.386201,1.4796,5.06668,12.4709,17.69
40960,0.0976449,0.386391,1.48191,5.09187,12.5935,18.1626
41984,0.0976551,0.38652,1.48374,5.1134,12.7367,17.9705
43008,0.0976627,0.386656,1.48567,5.13841,12.9178,18.3979
44032,0.0976725,0.386787,1.48767,5.16221,13.0445,18.8336
45056,0.097678,0.386874,1.48938,5.17987,13.1821,19.2162
46080,0.0976865,0.387006,1.49073,5.19987,13.2652,19.0798
47104,0.0976932,0.387118,1.49255,5.21804,13.4203,19.4935
48128,0.0976992,0.38721,1.49404,5.23971,13.5488,19.944
49152,0.0977063,0.387315,1.49548,5.25466,13.6869,20.3413
